Lemma	Abs. freq. in full text	Rel. Freq. in full text
tú	88	0,00026873347136461634
herir	88	0,00026873347136461634
virtuoso	87	0,0002656796819172912
manc	87	0,0002656796819172912
gente	87	0,0002656796819172912
súbdito	87	0,0002656796819172912
p	87	0,0002656796819172912
honrado	86	0,000262625892469966
ones	86	0,000262625892469966
pie	86	0,000262625892469966
creer	86	0,000262625892469966
vianda	86	0,000262625892469966
trabajo	86	0,000262625892469966
roma	85	0,0002595721030226408
igual	85	0,0002595721030226408
criar	85	0,0002595721030226408
carne	85	0,0002595721030226408
orden	83	0,0002534645241279904
enviar	83	0,0002534645241279904
guerra	82	0,0002504107346806652
cerca	82	0,0002504107346806652
bondad	81	0,00024735694523334007
menor	81	0,00024735694523334007
aventura	81	0,00024735694523334007
alcanc	81	0,00024735694523334007
antiguo	81	0,00024735694523334007
embargar	81	0,00024735694523334007
regla	80	0,00024430315578601486
principal	80	0,00024430315578601486
don	79	0,00024124936633868968
principado	79	0,00024124936633868968
semejar	79	0,00024124936633868968
temporal	79	0,00024124936633868968
fin	78	0,0002381955768913645
apóstol	78	0,0002381955768913645
cabec	78	0,0002381955768913645
ello	78	0,0002381955768913645
pensar	77	0,0002351417874440393
hética	76	0,00023208799799671412
solo	76	0,00023208799799671412
hueste	76	0,00023208799799671412
nacer	76	0,00023208799799671412
salvar	76	0,00023208799799671412
templar	76	0,00023208799799671412
alo_a+alo_lo	75	0,00022903420854938894
tristeza	75	0,00022903420854938894
propiedad	75	0,00022903420854938894
civil	75	0,00022903420854938894
beber	75	0,00022903420854938894
terc	74	0,00022598041910206376
placer	74	0,00022598041910206376
so	74	0,00022598041910206376
nada	74	0,00022598041910206376
moral	73	0,00022292662965473856
provechoso	73	0,00022292662965473856
mar	73	0,00022292662965473856
humildad	73	0,00022292662965473856
aristóteles	72	0,00021987284020741338
gobernador	72	0,00021987284020741338
david	72	0,00021987284020741338
menguar	72	0,00021987284020741338
refrenar	72	0,00021987284020741338
piedra	72	0,00021987284020741338
pro	72	0,00021987284020741338
san	71	0,0002168190507600882
gloria	71	0,0002168190507600882
deseo	71	0,0002168190507600882
general	71	0,0002168190507600882
seso	71	0,0002168190507600882
opinión	71	0,0002168190507600882
dentro	71	0,0002168190507600882
levar	71	0,0002168190507600882
ira	71	0,0002168190507600882
gracia	70	0,000213765261312763
acordar	70	0,000213765261312763
ligero	70	0,000213765261312763
varón	70	0,000213765261312763
mengua	70	0,000213765261312763
ángel	69	0,00021071147186543782
poderoso	68	0,00020765768241811264
catar	68	0,00020765768241811264
dende	68	0,00020765768241811264
caudillo	68	0,00020765768241811264
sexto	68	0,00020765768241811264
soberbia	68	0,00020765768241811264
comienc	67	0,00020460389297078746
capi	67	0,00020460389297078746
corporal	66	0,00020155010352346226
conel_con+conel_el	66	0,00020155010352346226
delo_de+delo_el	66	0,00020155010352346226
digno	65	0,00019849631407613708
seis	65	0,00019849631407613708
cuidado	65	0,00019849631407613708
comparación	65	0,00019849631407613708
vuestro	64	0,0001954425246288119
amonestar	64	0,0001954425246288119
intención	64	0,0001954425246288119
doctor	64	0,0001954425246288119
fiel	64	0,0001954425246288119
escritura	64	0,0001954425246288119
cercar	64	0,0001954425246288119
darío	64	0,0001954425246288119
nombre	63	0,0001923887351814867
lujuria	63	0,0001923887351814867
pan	63	0,0001923887351814867
fuego	63	0,0001923887351814867
aconsejar	63	0,0001923887351814867
50	63	0,0001923887351814867
pleito	63	0,0001923887351814867
reprender	63	0,0001923887351814867
ordenamiento	62	0,00018933494573416152
destas_de+destas_este	62	0,00018933494573416152
Ío	62	0,00018933494573416152
hermano	62	0,00018933494573416152
lid	62	0,00018933494573416152
pmero	61	0,00018628115628683634
